0	997
1	995
2	989
3	985
4	982
5	978
6	972
7	970
8	966
9	963
10	957
11	954
12	952
13	946
14	941
15	940
16	937
17	933
18	928
19	927
20	927
21	921
22	916
23	909
24	904
25	901
26	897
27	895
28	891
29	887
30	884
31	882
32	878
33	873
34	869
35	867
36	861
37	860
38	856
39	850
40	849
41	848
42	845
43	842
44	840
45	836
46	833
47	831
48	829
49	826
50	825
51	819
52	816
53	816
54	814
55	812
56	807
57	805
58	800
59	796
60	793
61	790
62	788
63	787
64	786
65	784
66	780
67	776
68	772
69	768
70	762
71	760
72	759
73	755
74	749
75	748
76	745
77	739
78	736
79	736
80	733
81	730
82	728
83	721
84	715
85	711
86	708
87	708
88	707
89	706
90	704
91	701
92	700
93	699
94	697
95	695
96	690
97	690
98	688
99	687
100	683
101	675
102	671
103	668
104	666
105	664
106	662
107	661
108	658
109	656
110	653
111	652
112	650
113	646
114	646
115	644
116	640
117	640
118	637
119	634
120	632
121	630
122	629
123	627
124	625
125	624
126	622
127	620
128	619
129	616
130	612
131	610
132	609
133	605
134	601
135	599
136	596
137	595
138	593
139	592
140	591
141	589
142	586
143	584
144	584
145	582
146	581
147	581
148	580
149	579
150	577
151	576
152	574
153	573
154	571
155	568
156	567
157	564
158	563
159	561
160	559
161	557
162	556
163	553
164	552
165	551
166	551
167	549
168	545
169	542
170	537
171	536
172	536
173	534
174	530
175	527
176	524
177	521
178	519
179	519
180	519
181	515
182	513
183	512
184	511
185	510
186	508
187	505
188	502
189	496
190	494
191	492
192	488
193	485
194	484
195	483
196	483
197	482
198	477
199	475
200	474
201	473
202	472
203	470
204	467
205	465
206	460
207	458
208	452
209	449
210	445
211	443
212	440
213	440
214	439
215	436
216	434
217	432
218	430
219	429
220	428
221	427
222	425
223	424
224	423
225	421
226	417
227	412
228	411
229	411
230	410
231	410
232	410
233	410
234	410
235	407
236	405
237	401
238	400
239	400
240	398
241	396
242	395
243	393
244	391
245	388
246	387
247	386
248	383
249	379
250	378
251	378
252	376
253	376
254	376
255	373
256	373
257	371
258	370
259	369
260	368
261	366
262	364
263	362
264	360
265	359
266	358
267	357
268	357
269	357
270	356
271	353
272	350
273	347
274	345
275	344
276	340
277	339
278	339
279	338
280	337
281	337
282	337
283	336
284	335
285	332
286	329
287	329
288	328
289	327
290	326
291	323
292	323
293	323
294	323
295	323
296	321
297	320
298	318
299	318
300	318
301	318
302	318
303	317
304	316
305	315
306	315
307	310
308	305
309	304
310	303
311	301
312	299
313	297
314	295
315	295
316	295
317	293
318	292
319	289
320	289
321	289
322	288
323	288
324	287
325	286
326	283
327	281
328	279
329	278
330	275
331	274
332	274
333	273
334	271
335	269
336	268
337	266
338	266
339	264
340	264
341	260
342	259
343	256
344	255
345	254
346	254
347	253
348	250
349	249
350	248
351	247
352	245
353	244
354	243
355	243
356	243
357	242
358	242
359	241
360	241
361	240
362	237
363	237
364	237
365	236
366	234
367	234
368	234
369	232
370	232
371	230
372	230
373	230
374	230
375	230
376	229
377	229
378	227
379	227
380	227
381	227
382	226
383	226
384	225
385	225
386	225
387	224
388	224
389	224
390	223
391	222
392	222
393	221
394	221
395	221
396	221
397	220
398	219
399	218
400	218
401	217
402	215
403	215
404	214
405	213
406	210
407	210
408	209
409	209
410	208
411	208
412	206
413	205
414	204
415	204
416	202
417	202
418	201
419	200
420	199
421	197
422	197
423	197
424	196
425	195
426	195
427	193
428	192
429	190
430	189
431	188
432	187
433	185
434	184
435	184
436	184
437	183
438	181
439	180
440	179
441	179
442	179
443	178
444	177
445	177
446	176
447	174
448	174
449	173
450	171
451	171
452	171
453	170
454	170
455	170
456	170
457	169
458	168
459	166
460	166
461	166
462	166
463	166
464	165
465	164
466	163
467	161
468	161
469	161
470	160
471	159
472	157
473	157
474	154
475	153
476	152
477	149
478	148
479	148
480	147
481	146
482	145
483	144
484	143
485	141
486	141
487	140
488	140
489	140
490	140
491	140
492	139
493	139
494	139
495	139
496	138
497	138
498	138
499	137
500	136
501	136
502	135
503	134
504	132
505	131
506	129
507	129
508	128
509	128
510	128
511	127
512	127
513	127
514	126
515	126
516	126
517	126
518	125
519	124
520	124
521	124
522	124
523	124
524	123
525	122
526	122
527	122
528	122
529	122
530	122
531	122
532	121
533	119
534	118
535	118
536	117
537	117
538	117
539	117
540	117
541	116
542	116
543	116
544	116
545	115
546	115
547	114
548	113
549	111
550	111
551	110
552	110
553	109
554	109
555	109
556	109
557	107
558	107
559	107
560	107
561	106
562	104
563	104
564	104
565	104
566	104
567	104
568	103
569	103
570	101
571	101
572	101
573	101
574	101
575	101
576	98
577	98
578	98
579	96
580	95
581	95
582	95
583	94
584	94
585	94
586	94
587	93
588	93
589	92
590	92
591	91
592	90
593	90
594	90
595	90
596	88
597	87
598	87
599	87
600	87
601	86
602	85
603	84
604	84
605	84
606	84
607	84
608	84
609	84
610	84
611	83
612	83
613	83
614	83
615	82
616	82
617	82
618	82
619	81
620	81
621	81
622	81
623	80
624	80
625	80
626	80
627	79
628	79
629	79
630	79
631	78
632	78
633	78
634	78
635	77
636	77
637	77
638	77
639	77
640	76
641	75
642	75
643	75
644	75
645	74
646	74
647	74
648	74
649	73
650	73
651	73
652	73
653	73
654	73
655	72
656	72
657	72
658	71
659	71
660	70
661	68
662	68
663	67
664	67
665	66
666	66
667	66
668	65
669	65
670	65
671	65
672	64
673	63
674	63
675	63
676	63
677	62
678	62
679	62
680	62
681	61
682	61
683	61
684	61
685	61
686	61
687	61
688	61
689	61
690	60
691	60
692	59
693	58
694	58
695	58
696	58
697	57
698	56
699	56
